,,,Feb 28 2023,Current balance,
Project ID,Artist,Collection,Status,BTC,ETH
1000003,Tacyturn,Mayan Calendar,Active,0.00000,0.00000
1000004,Dejitaru,Cardinals,Active,0.00000,0.00000
1000005,smldms,Ordinals Maze,Active,0.00000,0.00000
1000006,P1xelboy,Voiles,Active,0.00000,0.00000
1000007,taj,Haunted Impressions,Active,-0.03664,0.00000
1000008,Charlesai,Temple of Digital Gold,Active,0.00000,0.00000
1000009,Collapsar Beauty,Ordinal Biospy,Active,0.00000,0.00000
1000010,josemiguel,Vertigo,Active,0.00000,0.00000
1000013,Mind Mechanic,Fluttering thoughts,Active,0.00000,0.00000
1000014,Cubic Pepe,Peteza,Active,0.00000,0.00000
1000067,patxol,Ordinal dreams - plottables,Active,-0.00060,0.11068
1000101,Rare_Luca,The Dismorphees - Serie 1,Active,0.00000,0.00000
1000132,yenren,Broken,Active,-0.00134,0.00000
1000118,UNKNOW,,Active,0.00000,0.00000
1000159,Hashksy,JPEG Dealer,Active,0.00000,0.00000
1000172,0xa0083,Bitcoin Mate,Active,0.00000,0.00000
1000179,pixelord,C0LL3CT0R,Active,0.00000,0.00000
1000181,Smowq,dots,Active,0.00000,0.00000
1000070,BUg,Pixel Monster,Active,0.00000,0.00077
1000111,Lolipop Mary,cyan color street,Active,0.00000,0.00000
1000115,Peteza,Cubic Pepe #2,Active,0.00000,0.00000
1000122,Hashksy,Young Satoshi,Active,0.00000,0.00000
1000142,Peteza,Cubic Pepe #3,Active,0.00000,0.00000
1000143,Peteza,Cubic Pepe #4,Active,0.00000,0.00000
1000145,Peteza,Cubic Pepe #6,Active,0.00000,-0.00003
1000150,ShangHigh,Bitcoin Boxers,Active,0.00000,0.03953
1000175,nikita,Inscriber,Active,0.00000,0.00000
1000176,Hashksy,Numbers go up,Active,0.00000,0.00000
1000192,Satoshi 0,Nakamoto Village,Active,-0.00456,0.00000
1000201,Philmo,Liquid entropy,Active,0.00000,0.02635
1000207,obi,OrdinalShapes,Active,0.00000,-0.00007
1000221,ves m s,shaps,Active,0.00000,0.00000
1000226,John Yi,Hxmans,Active,0.00000,-0.11782
1000234,artplusbrad,Houndstooth and Mash,Active,0.00000,0.00000
1000257,Christopher C-Dub Wheeler,BTC Textures Edition 1,Active,0.00000,-0.03074
1000262,Philmo,Diffusion,Active,0.00000,0.00000
1000269,ordinal doggo,ordinal doggo,Active,0.00000,0.00000
1000272,MAXCAPACITY.xcp/.eth/.tez,DOS Punks,Scam,0.00000,-0.06335
1000298,Slava3ngl,BTCSkull3s,Active,0.00000,-0.02405
1000313,Shadow Ledger,Fiat Printers,Active,0.00000,0.00000
1000314,Designcollector,Goodbye Punks,Active,0.00000,0.01949
1000321,Winchawa,CYBER TWINS,Active,0.00000,0.00000
1000322,UNKNOW,Balance(),Active,0.00018,0.01384
1000323,autohirst,TRASHNESS,Active,0.00000,0.00000
1000326,EndlessWorld,FantasPoly,Active,0.00000,0.00000
1000340,Cryptofawkek,GIF PEPE WY,Active,0.00000,-0.00630
1000373,UNKNOW,,Active,0.00000,0.00000
1000212,UNKNOW,BitcoinCat,Active,0.00000,0.01318
1000365,radarboy3000,,Active,0.00000,0.00000
1000361,UNKNOW,,Active,0.00000,0.02635
1000246,UNKNOW,,Active,0.00000,0.00000
1000123,UNKNOW,,Active,0.00000,0.00000
1000312,UNKNOW,,Active,0.00000,0.00000
1000364,UNKNOW,,Active,0.00000,0.00000
1000394,UNKNOW,,Active,0.00000,0.00000
1000517,UNKNOW,,Scam,0.00000,0.00000
1000214,Ozimiyaki,,Active,0.00000,0.00000
1000228,Mr. Stoner,,Active,0.00000,0.00000
